image_path,description,image-id
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005247.jpg,A black and white photo of an older man skiing.,000000005247.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005394.jpg,A boat that looks like a car moves through the water. ,000000005394.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,000000005802.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,000000005879.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000006672.jpg,The back door with a window in the kitchen.,000000006672.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008045.jpg,Tub and shower on platform in modern tiled bathroom.,000000008045.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008180.jpg,A large airplane is on the airport runway.,000000008180.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008218.jpg,A building with a black and gold clock on it.,000000008218.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000011334.jpg,A close up detail of an ornate brickwork cathedral,000000011334.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000013466.jpg,Two street signs are shown against more buildings.,000000013466.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000014297.jpg,A house boat along the water has bicycles on deck.,000000014297.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000016977.jpg,A car that seems to be parked illegally behind a legally parked car,000000016977.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000019523.jpg,two women loading their bicycles onto a bus rack,000000019523.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000020788.jpg,A woman hovering over food on a wooden table.,000000020788.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000022793.jpg,A public bathroom with a bunch of urinals.,000000022793.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000027842.jpg,A dual sink vanity with mirrors above the sinks.,000000027842.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000030423.jpg,Four giraffes in the wild eating from trees.,000000030423.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000031519.jpg,A group of rescue workers helping an overturned car,000000031519.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000031984.jpg,a women that is standing next to a motorcycle,000000031984.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000032203.jpg,Three people on motorbikes racing around a track.,000000032203.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000034196.jpg,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,000000034196.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000036450.jpg,A very big teddy bear is next to a woman.,000000036450.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000040986.jpg,A man points at the wall in his kitchen.,000000040986.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000043098.jpg,A man is walking down the street in front of a red door.,000000043098.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000050411.jpg,A mounted police officer riding down a city street past parked cars.,000000050411.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000051191.jpg,The view of a large bathroom with a walk in closet.,000000051191.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000052087.jpg,A man getting a drink from a water fountain that is a toilet.,000000052087.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000056070.jpg,A motorcycle parked next to a yellow thing and tree.,000000056070.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000056752.jpg,Man on a bicycle riding on the road next to a river.,000000056752.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000057429.jpg,The airplane is taking off on the runway at the airport.,000000057429.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000057703.jpg,A man and two women walking their dogs and hiking in the woods.,000000057703.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000059171.jpg,A couple of birds fly through a blue cloudy sky.,000000059171.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000061259.jpg,A Virgin Australia airline on the tarmac. ,000000061259.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000061422.jpg,A bathroom with a sink and a toilet. ,000000061422.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000062483.jpg,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,000000062483.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000069236.jpg,a wooden and metal bench near a over grown bush,000000069236.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000069293.jpg,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",000000069293.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000073280.jpg,a brown and white kitchen with a silver refrigerator,000000073280.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000074132.jpg,A bathtub in front of a large mirror.,000000074132.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000075118.jpg,A fighter jet doing tricks with smoke trailing behind it.,000000075118.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000075663.jpg,A children play area absent of any children.,000000075663.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000079472.jpg,"A laptop, monitor, printer and tablet on a desk.",000000079472.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000081505.jpg,The plane is flying through a clear blue sky.  ,000000081505.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000082673.jpg,A small car sits parked in front of a scooter. ,000000082673.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000085145.jpg,An airplane flying in a blue sky with it's landing gear down.,000000085145.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000085316.jpg,a family stands outside their home by horses. ,000000085316.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000090732.jpg,A little girl standing on a chair mixing something in a bowl.,000000090732.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000092678.jpg,Man and woman standing on the beach in the process of flying a kite. ,000000092678.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000093959.jpg,A white kitchen with marble countertops and stone floors.,000000093959.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000097790.jpg,"Two aircraft flying, one a jet and one a propeller plane.",000000097790.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000099389.jpg,A motorcycle parked in front of a graffiti covered building.,000000099389.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000100138.jpg,A black motorcycle parked in front of trees.,000000100138.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000102625.jpg,An empty kitchen filled with dishes and appliances.,000000102625.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000104326.jpg,A pinewood and green modern themed kitchen area.,000000104326.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000106140.jpg,An red and white airplane is in the cloudy sky.,000000106140.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000106900.jpg,"A woman, man, and a dog standing in the snow. ",000000106900.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000107990.jpg,A small child climbs atop a large motorcycle,000000107990.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000108283.jpg,A rotten door leading into a restroom covered in filth.,000000108283.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000119964.jpg,A skateboarder sitting on the edge of an open field.,000000119964.jpg
